,tweet,labels
13442,even ive alreadi smoke countri bitch fuck want,Offensive language
13443,even sweat hoe ,Offensive language
13444,everi girl like sweet ass emoji ass nigguh girl like sexi af ass nigguh,Offensive language
13445,finna play bitch lmao,Offensive language
13446,go put red equal sign facebook im faggot im marriag equal ,Offensive language
13447,exist contribut contribut thing enjoy often queer person behind product,Offensive language
13448,fault yo bitch wanna flip,Offensive language
13449,one bitch text right follow inch rim inch tv straight ass teeth text messag ima kill,Offensive language
13450,protect state utah fear queer coupl forc church marri legal,Offensive language
13451,realli sure describ what happen eurotrash mguiducci vip room ,Neither hate speech nor offensive language
13452,sure teabagg would care nelson mandela hes one know mean teaparti tcot,Neither hate speech nor offensive language
13453,sure someon would put pictur escort websit aint sell pussi,Offensive language
13454,plan die soon im total go write kenobi sole heir hes thing local trust,Neither hate speech nor offensive language
13455,type take slow turn good girl hoe spookyblack,Offensive language
13456,call bitch  gone hate bitch,Offensive language
13457,sound like total bitch im tire peopl kid back school aint post pic back colleg day,Offensive language
13458,trash plain fuck come eleph print ,Offensive language
13459,true rt kimchanel everi man hoe bye,Offensive language
13460,tri follow spook offens ,Hate speech
13461,ya grandma browni wink wink ,Neither hate speech nor offensive language
13462,note rocket remov cardboard launcher carri trash bin fleeingtidyterrorist,Neither hate speech nor offensive language
13463,note khorasan old arab name part iran afghanistan invent modern jihadi justsayin,Neither hate speech nor offensive language
13464,noth good tv yanke eat ball inning great,Neither hate speech nor offensive language
13465,noth spici stop fuck eat cri fuck pussi,Offensive language
13466,noth yokel msu fan constant reassess izzo aka consist winner sinc daugherti biggi flip munn,Neither hate speech nor offensive language
13467,noth say teabagg like millionair complain broke huh hillaryclinton give break lol ,Neither hate speech nor offensive language
13468,noth wors babi bitch pussi go fli kite,Offensive language
13469,notic didnt tweet bytch bytch differ bitch logic werk,Offensive language
13470,notic dont make music nigga dont get pussydrakelordknow,Offensive language
13471,see chatter among jihadi fan take credit alledg kidnap frenchman algeria franc,Neither hate speech nor offensive language
13472,could say name butttttt ya bitch alreadi know ,Offensive language
13473,dont even want anyth son bitch,Offensive language
13474,seper nigga dont trust nigga aint starv wit bitch didnt fuc ,Offensive language
13475,im gook boy shawti ,Neither hate speech nor offensive language
13476,im listen lil spook get good kinda sad imma singl fall know youll get annoy tl aye,Neither hate speech nor offensive language
13477,unfollow  lol rikababey pussi turn late wont fuck time soon forev ,Offensive language
13478,day niqqa would rather real wit niqqa bitch wanna fuck wit rather day one niqqa smfh generat fallin,Offensive language
13479,day hoe twerkin new weav,Offensive language
13480,neighborhood nigga like aint suppos get pussi like,Offensive language
13481,hoe bout post saint lost im still cute pic gram ,Offensive language
13482,da heat fan bacc yall nicca kill aint tweet shit damn game,Offensive language
13483,dont hate ol lyin ass hoe smilin ya face wearin best friend cloth,Offensive language
13484,infuri jihadi put murder request saudi fighter pilot particip bomb syria isi,Neither hate speech nor offensive language
13485,side bitch main bitch bc main hoe aint feel mo mo,Offensive language
13486,side bitch main bitch caus main bitch aint feelin moe,Offensive language
13487,nicca wont haircut,Offensive language
13488,put ya ass dicc let know baddest lit bitch,Offensive language
13489,nicki minaj said fuck skinni bitch watch fat bitch come outta time play,Offensive language
13490,that let beat build bitch  that ish rt hit kill switch,Offensive language
13491,bitch tryin vid gurl sit cho ass,Offensive language
13492,cheat bitch yall defens sad fuck rt cheat,Offensive language
13493,new bitch act dumb tryna correct everi word,Offensive language
13494,put pussi vivian bet play ,Offensive language
13495,your drink till your unconsci feel get fine bitch,Offensive language
13496,jihadi network wake amp claim raqqa radio two plane shot amp pilot captur isi syria,Neither hate speech nor offensive language
13497,nower day defenit bad bitch good pussi ,Offensive language
13498,nugga obsess homi like cant bag bitch,Offensive language
13499,nuh uh rt misssne still count rt weavuschrist hoe twitter bae,Offensive language
13500,nuke town pussi,Offensive language
13501,nyomi banxxx skin diamond last good eboni porn bitch,Offensive language
13502,og old face hunnid young hoe,Offensive language
13503,og love see yung nicca come,Offensive language
13504,oh morningmika say democrat lost teabagg vote lmao bobbl head morningjo,Neither hate speech nor offensive language
13505,ohhgt whine whine whine say faggot ass steroid cream forgiv giantsgt busterposey takin shot barrybond,Offensive language
13506,okc nigguh,Offensive language
13507,omg  im high bitch  ,Offensive language
13508,omg frannyhilison pattiemallett ugli faggot bad mother kill like robin william,Hate speech
13509,omg rt masterbay yall ever met dyke didnt kid,Offensive language
13510,omg rt beigegawdd noth life made softer fuck nigger dick,Offensive language
13511,omg rt shuggajet iaintasiantho yo side bitch find gift bought ya girl  lmfaoooooooo,Offensive language
13512,omg bitch tico wont stfu alreadi,Offensive language
13513,omggt throw beer bottl street yell drunk homeless peopl stop harass tranni torturebasebal,Offensive language
13514,omggggg nigga said jerri  black bitch,Offensive language
13515,sight rt michydo bitch bet see street trash ass nigga,Offensive language
13516,ot nicca word nigga play jesus,Offensive language
13517,obama mock special olymp wendi davi mock handicap ya see pattern democrat tcot uniteblu,Neither hate speech nor offensive language
13518,newli releas gitmo jihadi link terrorist syria  tcot pjnet,Neither hate speech nor offensive language
13519,fave muslim black ghetto trash  via worldnetdaili,Hate speech
13520,obama hellfir missil tend vapor jihadi puremonotheist uniteblu,Neither hate speech nor offensive language
13521,ocean drive gave pill think justmoodi met pussi ocean ,Offensive language
13522,och hoe wonderbaarlijk dat jan het alweer met n marokkaans bner aan de stok heeft na fatima lamyea tofik nu ook abdelka te min gevonden,Neither hate speech nor offensive language
13523,lazi bitch laziest today noregret,Offensive language
13524,cours faith basebal year barrybond goddamn retard moron,Hate speech
13525,cours mean fajita time rt corporatebarbi im flat iron oh bitch aint never leav,Offensive language
13526,lot dope bitch high af,Offensive language
13527,offens line trash,Neither hate speech nor offensive language
13528,offens joe johnson good lebron better dont  pussi,Offensive language
13529,offici jihadi cockroach book ticket cruis ship syria  ,Neither hate speech nor offensive language
13530,oh hope dre fall dickhol first pussi ,Offensive language
13531,oh forgot live ghettohoodrat,Neither hate speech nor offensive language
13532,oh im back nd vap dont fuck one bitch ,Offensive language
13533,oh im nasti smoke cigarett your nasti wash behind ear everyday stupid littl bitch,Offensive language
13534,oh yahweh hand upon shadow hover mefor sake hous ysrahal mock day long ,Neither hate speech nor offensive language
13535,oh bitch lurkin  well bitch im twerkin ,Offensive language
13536,oh hell yeah lol rt vonshayeb know nicca injuri prone,Offensive language
13537,oh multipl dna ol girl man ran train hoe ,Offensive language
13538,oh coon bike week charlott ok make sens,Neither hate speech nor offensive language
13539,oh look cutler didnt step throw threw int nice flat foot throw cunt,Offensive language
13540,oh man could serious first ever chanel bag contend rt grapecolor chanel bag ,Neither hate speech nor offensive language
13541,oh god oh god im go bitch mob parti today oh god,Offensive language
13542,oh god bitch walk past legit smell like fish market tfeh tfeh ,Offensive language
13543,oh oreo bake chocol chip cooki surpris,Neither hate speech nor offensive language
13544,oh nah bitch  work much even think lol,Offensive language
13545,oh didnt nobeeetch watch yo mouth bitch badmatatan one bitch two dog ,Offensive language
13546,oh tht hoe ode fake ,Offensive language
13547,oh thachicagobul friday night night bitch ,Offensive language
13548,oh pleas your pussi,Offensive language
13549,oh rt vianawf respect bitch spite come children,Offensive language
13550,oh shit still light ive bitch long ,Offensive language
13551,oh shit rt imdatniggajack shermank dalla hairlin trash,Offensive language
13552,oh snap im realiz skinni tranni jare leto hes wo unrecogniz weight loss geez,Neither hate speech nor offensive language
13553,oh bc didnt cover u bitch wanna talk shit,Offensive language
13554,oh well lil stupid ass bitch dont fuck youuuuuu rt holdmypursegirl idfwu bitter ass song fuck nigga like,Offensive language
13555,oh yeah especi winston nicca lmao rt lolahasarriv vonshayeb spacejamteeg think wont lol nigga,Offensive language
13556,oh got new bitch think got new bitch ,Offensive language
13557,oh one stuck bitch ,Offensive language
13558,oh want pho well saimigi ghetto pho eat shit sinc im ,Offensive language
13559,oh gonna ruin life throw away smoke weed test score higher    trash life,Neither hate speech nor offensive language
13560,oh im back bitch one walk ever ever,Offensive language
13561,oh bitch scandal,Offensive language
13562,oh whitney cant b true gtsob sob weep soblt oh crack industri lost champion ripwhitney ya dumb bitch,Offensive language
13563,oh wow avoid bitch,Offensive language
13564,ohh amp btw leslieeeixta get call blame kimberlyyay  bitch keep sign peopl bc want gym buddi lol,Offensive language
13565,ohh gawdd woke throw dis nicca paper slept n damn car n threw n shit n lost phone smh gm,Offensive language
13566,ohkay texa bitch keep textin  callin cryin stressin bout ive anoth bitch alleg ,Offensive language
13567,ohmygod pleas dont bitch today,Offensive language
13568,oi look pussi bed ,Offensive language
13569,ok show cartoon network complet trash stevm univers awwwwwesomeeeee,Neither hate speech nor offensive language
13570,ok funni proud liber want end racism call tim scott uncl tom lolz lib idiot tcot ,Offensive language
13571,ok night night bitch,Offensive language
13572,ok bitch say wut think shesaid believ u describ urself dumbass,Hate speech
13573,ok suck dick isnt suppos done cute manor like eat pussi your suppos scare,Offensive language
13574,okay im gonna need everyon stop call rihanna hoe  k thank ,Offensive language
13575,okay ajay got one time call bitch one lit sub tweet like bitch fucc yo lit life got go ,Offensive language
13576,okay number aint save long  okay thancc tf hoe,Offensive language
13577,okay dont repli didnt want anyway bitch,Offensive language
13578,okay know im like ten year late freak hate ana sofia lost fuck dumb bitch wtf problem ,Offensive language
13579,okay either scubakitteh super dyke weird car sex fetish,Offensive language
13580,okay rt professorx bitch rt mad caus open mouth greysanatomi,Offensive language
13581,okay kid rickandmorti came that know im tweet way late sunday night booya bitchesgt im outta heregt,Offensive language
13582,okay mayb everi losangel evil would peopl ive encount trash anoth bare human,Neither hate speech nor offensive language
13583,okay natitud sooooo coolgt come bitch dont call obama bo jingo that thought gobuycomb,Offensive language
13584,okay ill stop bitch mayb ,Offensive language
13585,oklahoma yard tu point trashhhhhhhh ass team big xii trash,Offensive language
13586,ol bitch ass look like got bobbl head lilshwenda,Offensive language
13587,ol head alway think young nicca gon runoff wit sacc,Offensive language
13588,old hoe lol theshugaveri rt moyizzi juic gone im old bitti,Offensive language
13589,old hoe get mad dont show attent want,Offensive language
13590,old ladi went pay reach way plate hate eat bar countertop stupid white bitch,Offensive language
13591,older black guy factoryi know none coon work tip here right ,Offensive language
13592,ole girl realli told doesnt care boyfriend hoe what wrong generat,Offensive language
13593,olivia pussi good got jake sip tea enemi op baddest bitch scandalabc,Offensive language
13594,omer asik trash offens side floor dude real life murki doo doo water,Neither hate speech nor offensive language
13595,omfg im murk bitch see red dude,Offensive language
13596,omfg tattoo hurt like bitch pain,Offensive language
13597,omfg crazi bitch ,Offensive language
13598,omg day  exact week ill vega bitch  edclv ,Offensive language
13599,omg dot im sure that give away free bitch ,Offensive language
13600,omg hate bitch fuck laugh shut fuck upppp,Offensive language
13601,omg go charli bear twerk team fuck,Offensive language
13602,omg kill like pic swear bitch,Offensive language
13603,omg bitch buy dildo stfu,Offensive language
13604,omg bruh said bitch look like femal jb smoov lmao ,Offensive language
13605,omg chloe pull hous like come outsid bitch hella cray,Offensive language
13606,omg fuck bitch basedgod,Offensive language
13607,omg hes hes pathet spineless ball piec trash twitter ive ever seen let go throw blah,Offensive language
13608,omg bitch said shit,Offensive language
13609,omg bitch stand hum deep annoy tone whole time counter wtf,Offensive language
13610,omg cutest littl tinker bell ever ,Neither hate speech nor offensive language
13611,omg wont say face stupid ass hoe talkin shit imma whoop ass dramat teenag girl,Hate speech
13612,omgggggggggg mila kuni fing hot f sarah marshal shes like bird anorex,Neither hate speech nor offensive language
13613,omm bitch dumb ass fuck,Offensive language
13614,omoid yokocho  shinjuku tokyo japan  n lost japan miguel n ,Neither hate speech nor offensive language
13615,gc dis bitch ,Offensive language
13616,upenn campus black chick trash theyr gonna paid,Hate speech
13617,handstand rt blaaksuedepump pop pussi delight,Offensive language
13618,mission find zebra cake,Neither hate speech nor offensive language
13619,scale redneck im watch day thunder right gocruis,Offensive language
13620,break feel xxxtra dumb caus forgot lunch money like hoe,Offensive language
13621,shit jus turn bitch dat grown shit ,Offensive language
13622,anniversari isi amp al qaeda support claim ben laden show jihadi authent pathet,Neither hate speech nor offensive language
13623,secret parti mission live tweak mock fatpo,Neither hate speech nor offensive language
13624,onlin hit niggah ,Offensive language
13625,westsid im screamin fuck kd bitch,Offensive language
13626,westsid im screamin fuck kd bitch,Offensive language
13627,ya pussi rap sheet whole lot bros ,Offensive language
13628,againhello hardin counti thedrunkstori everyon know hoe name ashley  hsn,Offensive language
13629,brainwork done pacemak medic devic compani call contract tinker toy engin like sctrollstribpol,Neither hate speech nor offensive language
13630,break ion want pussi nomor rt realli hate xbox huh,Offensive language
13631,hate someon everyth offens look bitch eat cracker like damn place,Offensive language
13632,one big school full fake bitch,Offensive language
13633,one day nigga gone learn fuck ugli bitch pregnanc need stop,Offensive language
13634,one hoe fine fuck one ugli bitch,Offensive language
13635,one man trash anoth transform ,Neither hate speech nor offensive language
13636,one man hoe anoth man hoe dont chang nigga,Offensive language
13637,one man trash anoth man treasur,Neither hate speech nor offensive language
13638,one man trash anoth man treasur believ,Neither hate speech nor offensive language
13639,one tonight dog walk sunset aka invis bird wire sunset invisiblebird wire ,Neither hate speech nor offensive language
13640,one night stand yall hoe yall aint noth,Offensive language
13641,one markschlabach best look rt mcmurphyespn charli wei coupl month ago hang wnelli ,Neither hate speech nor offensive language
13642,one favorit song there man shorelin white parakeet tri make bird go home ,Neither hate speech nor offensive language
13643,one nig holler cici ima keep low key tho one lol,Offensive language
13644,one biggest arrest loudmouth bitch reesewitherspoon nigga gotta act like whitebitch polic,Offensive language
13645,one best faggot joke time stephenk itgt anybodi seen faggot late believ hes dress obama ,Offensive language
13646,one great treasur live san diego readi access mexican twinki made real sugar mexican coca cola,Neither hate speech nor offensive language
13647,one world promin jihadi forum got shut ,Neither hate speech nor offensive language
13648,one room full bad bitch  lmao cant believ im kick main myspac ,Offensive language
13649,one thing cant stand text bitch got droid,Offensive language
13650,one thing hate lightskin nigga confus bitch like either go fwm gon fw nigga ,Offensive language
13651,one thing love relationship understand dont like cute shit cute bird,Offensive language
13652,one thing love russel wilson aint bitch runnin,Offensive language
13653,one thing never that love bitch cuz im drillin shit love cliqu,Offensive language
13654,one thing  im loyal nicca,Offensive language
13655,one thing alway tell lor cousin big cousin bitch ampamp niggah u alway gonna good regardless,Offensive language
13656,one thing u cant get trust bitch,Offensive language
13657,one time high school girl told friend need proactiv told need weight watcher hahaha bitch,Offensive language
13658,one time girl ask problem instant repli love bad bitch ,Offensive language
13659,american degener enough honor war dead barbecu anyon grill memori day trash,Neither hate speech nor offensive language
13660,american would hire white trash tie intern terror polic offic,Hate speech
13661,blood satisfi hungri flame hollor charli brown,Neither hate speech nor offensive language
13662,fuckin retard liber would think xmen jesuschrist mutantgt,Offensive language
13663,broke nigga gonna settl broke bitch,Offensive language
13664,hoe would favorit,Offensive language
13665,basic bitch workout planet fit,Offensive language
13666,bitch talk shit,Offensive language
13667,broke bitch steal money ,Offensive language
13668,faggot pussi put twitter pic dog,Offensive language
13669,faggot use white dss,Hate speech
13670,fag say swag shit mad retard,Hate speech
13671,fat bitch flat booti hoe today wackkkkk,Offensive language
13672,one reason caus bitch wont go gay  name nt smurf  see noon,Offensive language
13673,fw bad bitch iont mediocr,Offensive language
13674,get loud around ya team ass fraud,Offensive language
13675,goofi nigga simp chick communiti pussi,Offensive language
13676,hoe cheat,Offensive language
13677,hoe get k follow instagram,Offensive language
13678,hoe love,Offensive language
13679,hick town walk nation sport bar get busch light smh,Neither hate speech nor offensive language
13680,keep real bitch attend ,Offensive language
13681,movi cant wait see fail im go killer ape shit michael bay,Offensive language
13682,negro keep ad babi fat got older,Offensive language
13683,niggah tl get,Offensive language
13684,ounc niggah,Offensive language
13685,peopl home right nurs hoe amp nigga tryna hit ,Offensive language
13686,retard retweet fuckri,Hate speech
13687,famili eye n bitch rite here,Offensive language
13688,strong surviv nigga pussi,Offensive language
13689,strong surviv nigga bitch,Offensive language
13690,thing calm pussi cali tree,Offensive language
13691,tweet pussi got superpow,Offensive language
13692,would cut best tight end resign trash nigga cant make play save life,Offensive language
13693,white peopl use word cunt todd realli take,Offensive language
13694,white trash moron offend redskin team name liber,Offensive language
13695,white trash watch footbal,Hate speech
13696,white trash watch hockey,Offensive language
13697,white trash would call slant hindi moslem equal,Hate speech
13698,word understand blackjesus nigger heavili disappoint show aaronmacgrud stuff blow imo,Hate speech
13699,oomf hoe know hoe know hoe wont claim hoe say aint hoe butw know hoe hoe,Offensive language
13700,oomf got hella hoe ,Offensive language
13701,oomf got hoe,Offensive language
13702,oomf make skin itch like ew bitch,Offensive language
13703,oooow bitch lace front lace fuck,Offensive language
13704,oop freudian slit,Neither hate speech nor offensive language
13705,open leg filet mignon pussi,Offensive language
13706,open mouf kiss nig distinctivema nobetternoworst lolsam love kiss smh ,Offensive language
13707,open leg filet mignon pussi,Offensive language
13708,oper ask redhead resolv charli brown rejectedpeanutsspeci,Neither hate speech nor offensive language
13709,dont vote crippl amirit bigot mt dawnnaduk vote votewendydavi governor texa ,Neither hate speech nor offensive language
13710,im vibe ask see aux cord know bout play trash ,Neither hate speech nor offensive language
13711,dumb bitch self esteem cant decidebut saint ,Offensive language
13712,continu bitch that cool,Offensive language
13713,faggot rt eztaughtu guess got caught say nigga,Offensive language
13714,get swept motown lol yanke tiger mlb,Neither hate speech nor offensive language
13715,get nail done rt hoe brag nigga fw got money cant even get fill tank,Offensive language
13716,pollo,Neither hate speech nor offensive language
13717,cant afford winter cloth rt eyecreep summer hoe  winter muslimah,Neither hate speech nor offensive language
13718,teach might get u got rt abstraktalant realli hate disrespect ass bitch class professor talk stfu bitch,Hate speech
13719,music trash,Neither hate speech nor offensive language
13720,your neighborhood rt know your mexcian ghetto ,Neither hate speech nor offensive language
13721,gotta pay bill caus pussi aint free ummmm dick aint free neither pick tab pleas thank,Offensive language
13722,oregon lose oregon ahhhahahaha faggot,Hate speech
13723,oreo ice cream sandwich ,Neither hate speech nor offensive language
13724,oreo shake want,Neither hate speech nor offensive language
13725,oreo milkshak forev remind ,Neither hate speech nor offensive language
13726,oreo coffe brunch want,Neither hate speech nor offensive language
13727,oreo ho hos put milk,Offensive language
13728,oreo life,Neither hate speech nor offensive language
13729,orient rug caus im flyer dove,Neither hate speech nor offensive language
13730,oscar amp use make fun chacowear peopl togeth theyr sale lil bitch want fake,Offensive language
13731,oscar tavera went yardi nd career mlb bat stud,Neither hate speech nor offensive language
13732,oscar fuckin roast right got hella die bitch ,Offensive language
13733,jihadi news isi execut kuwait preacher redha lari coz amp hamper reconcili nusra fatwa,Neither hate speech nor offensive language
13734,faggot shit macklemor actual realli good artistbett alot rapper,Offensive language
13735,otter would make cool pet werent cunt,Offensive language
13736,femal guinea pig pregnant ,Neither hate speech nor offensive language
13737,professor said hoe said butt hurt boss,Offensive language
13738,day care im take kitti nap hoser,Neither hate speech nor offensive language
13739,outsid click aint anoth nicca fuccn wit,Offensive language
13740,outsid dah fuckin yardi eh,Offensive language
13741,bitch tri act like pictur,Offensive language
13742,overal singl life fun also get nude dont leak em unless your faggot,Offensive language
13743,overrip eggplant good eat uncletweet,Neither hate speech nor offensive language
13744,philosophi existenti depth trash popmtvhottestlanadelrey,Neither hate speech nor offensive language
13745,pnd jigga man,Neither hate speech nor offensive language
13746,pollo lastdo pollo estaban dando vuelta en una mientra los estaban cocinando last cuando ,Neither hate speech nor offensive language
13747,psa reduc fat oreo waxi dont soften proper dunk milk stay away theyr unnatur dietschmiet oreo,Neither hate speech nor offensive language
13748,pacey told flash touch turn yellow black whatwashedo ,Neither hate speech nor offensive language
13749,padr yankeeangel fan need stfu,Neither hate speech nor offensive language
13750,paid dis much da belt betta crack bitch,Offensive language
13751,paig better text bitch lol,Offensive language
13752,paint bitch rooftop bc bitch love rooftop,Offensive language
13753,palin mock obama russia rhetor ask could seen come crowd goe wild ,Neither hate speech nor offensive language
13754,panda express trash want chines didnt feel like gettin car,Neither hate speech nor offensive language
13755,pantera  minut alon  chrisrock minut pussi boyil crush,Hate speech
13756,paper pussi caus pussi bring problem powerofthep,Offensive language
13757,papoos trash bro reed lol,Offensive language
13758,pappadeaux bread scampi butter rt chickengeorg pussi tast like ,Offensive language
13759,pappadeaux got best chicken strip swear squeez lemon hoe,Offensive language
13760,parent televis council scandal sex scene charli brown ok  ,Neither hate speech nor offensive language
13761,parker cannon lyric beauti bitch come best lyric song like fuck man,Offensive language
13762,parodi jihadi song  effect asinin muslim condemn  humorisaweapon,Neither hate speech nor offensive language
13763,parson trash,Neither hate speech nor offensive language
13764,part chink,Offensive language
13765,parti hous come bitch,Offensive language
13766,pass interfer dumb ass zebra jerk,Offensive language
13767,pass stick bitch,Offensive language
13768,pass mad hoe give want,Offensive language
13769,patti dont love hoe,Offensive language
13770,pau hoe u gon play trade deadlin,Offensive language
13771,paula patton pussi got nigga stage knee talmbout gotta get back tonight,Offensive language
13772,pay pussi yo get mani freebi,Offensive language
13773,payback bitch,Offensive language
13774,payback bitch,Offensive language
13775,peac faggot ,Offensive language
13776,peac fag rememb im best lux support na drop lustboy pick kakao tsm,Hate speech
13777,peac friendon peacei enemydont say word againlook facebook wallon best friend ever moor,Neither hate speech nor offensive language
13778,peac hoe put badongl didnt cook breakfast ,Offensive language
13779,pedro littl bitch caus never dm,Offensive language
13780,penn state tryna slant screen way field lol,Neither hate speech nor offensive language
13781,pennsylvania white trash pennsylvanian,Hate speech
13782,peopl fuck retard lol,Hate speech
13783,peopl uncivil,Neither hate speech nor offensive language
13784,peopl bitch complain stupid thing,Offensive language
13785,peopl ask never speak bout subtweet n lil shit peopl say babi tbh ion give dam bout none nigga bitch oml,Offensive language
13786,peopl ask donat christi mackget real bitch made thousand dollar sexbitch better fuckin,Offensive language
13787,peopl angri tonight dis tweeter hard color man see dis anger like bein waffl hous mississippi,Neither hate speech nor offensive language
13788,peopl call complain spinelli purg speciallmao pussi louisvillepurg,Offensive language
13789,peopl comment fb status like day like bitch wtf know,Offensive language
13790,peopl get retard everyday,Hate speech
13791,peopl gotta learn appreci peopl go way help even dont want help dont bitch,Offensive language
13792,peopl hate da rig life love babi pussi ass nigguh,Offensive language
13793,peopl love touch hair ooo real yes bitch,Offensive language
13794,peopl site fuck retard sometim,Hate speech
13795,peopl talk shit twitter see person look like bitch wtf look yes yeah im cute,Offensive language
13796,peopl tend bitch coach much offens playcal kill ag indefens point,Offensive language
13797,peopl chose countri citi miser trash deserv neither respect consider less scum,Neither hate speech nor offensive language
13798,peopl dont put blinker serious need crash pole someth moveoutmywaybitch,Neither hate speech nor offensive language
13799,peopl enjoy show like southpark familyguyonfox douch bag usual white trash,Hate speech
13800,peopl go church hollywood ca white trash filth,Hate speech
13801,peopl grow veget noth common peasant trash,Hate speech
13802,peopl live thenetherland unwash trash,Hate speech
13803,peopl never use hair product unkept white trash douch bag,Offensive language
13804,peopl play fantasygam white trash,Offensive language
13805,peopl play roleplayinggam human filth dont deserv respect youd give mosquito theyr soulless gutter trash,Hate speech
13806,peopl slam brake yellow light allow drive,Neither hate speech nor offensive language
13807,peopl trash car love drive fast reckless,Neither hate speech nor offensive language
13808,peopl rt pictur far wide reason make teabagg poor spell realli angri ,Neither hate speech nor offensive language
13809,perhap ezra miller first crack toward chang regardless whether identifi queer gay,Neither hate speech nor offensive language
13810,perhap im diehard yanke fan there point watch debacl yanke tiger mlb els lol,Neither hate speech nor offensive language
13811,perman slit eyebrow tumbl bleacher littl stay er,Neither hate speech nor offensive language
13812,person new year resolut jackass everyon yeah im go buy im retard,Offensive language
13813,peter pan ho never land ho,Offensive language
13814,peyton man goon fuck eli pussi ass,Offensive language
13815,phaedra gonna drop apollo like mariah da brat went prison hoe aint loyal,Offensive language
13816,phil hugh look like phil hugh old yanke mlb,Neither hate speech nor offensive language
13817,phillip river look like almost want call dude nigger bad play,Hate speech
13818,phone disconnect like hoe  thank god shmedium hot spot lol,Offensive language
13819,phone drier yo bitch scalp ,Offensive language
13820,photo check background spook ,Neither hate speech nor offensive language
13821,photo bad bitch ladykimora favorit vega socialit dragrac dragqueen ladykimora ,Offensive language
13822,photo give trailer park trash transformthursday ladykimora vegasqueen vegasshowgirl ,Neither hate speech nor offensive language
13823,photo good morn ig give u white trash bodi turntup webad wepretti gayvega ,Offensive language
13824,photo happi friday bitch kimorablac ,Offensive language
13825,photo happi friday glamazon ladykimora rupaulsdragrac welovequeen ,Offensive language
13826,photo kimora boobi unlock slice bitch kimorablac ,Offensive language
13827,photo ima boss ass bitch turntup webad wepretti gayvega rupaulsdragrac barb minaj ,Offensive language
13828,photo bitch ,Offensive language
13829,photo morn bitch ,Offensive language
13830,photo mustard beat hoe wdywt ,Offensive language
13831,photo main barbi georgegia yessssss ladykimora turntup vega bitch ,Offensive language
13832,photo filter bitch turntup webad wepretti gayvega rupaulsdragrac barb minaj ,Offensive language
13833,photo rest peac bad boy  bad advis made let old asian dude glue sole ,Neither hate speech nor offensive language
13834,photo serious friend hoe funni getyourlif ,Offensive language
13835,photo anarchoqu anarch stand social order base free group individu ,Neither hate speech nor offensive language
13836,photo deafreaperventus waywardsonsandfallenangel murderouscrow gay intensifi say ,Offensive language
13837,photoset biggest pussi seen china ,Offensive language
13838,physic amp bed rt bitch frame trash skinni,Offensive language
13839,pic circul jihadi feed claim isi flag top mount arafa holiest day pilgrimag ,Neither hate speech nor offensive language
13840,pic confus look like dyke hoe pooci datjollygirl btweekin ,Offensive language
13841,pick citi buy condo find fine hoe let time go chea,Offensive language
13842,pickup line cat ladi love pussi toono wait liter meant like cat,Offensive language
13843,pictur time outsid metro fuck fag,Offensive language
13844,pie crust trash flaki dri shit,Offensive language
13845,pierc wouldv easili drain shot us hes trash smh,Neither hate speech nor offensive language
13846,pillow talkin bitch see bad nigga basic,Offensive language
13847,pillow talkin hoe hatin nigga might lose ya chick like ,Offensive language
13848,pink champagn boo thang bad bitch hope dont trade,Offensive language
13849,piss see littl liber faggot wear che guevara shirt move ur ass cuba ,Offensive language
13850,piss much brett scream fag whore window peopl,Offensive language
13851,pistol bad bitch hustler bad busi,Offensive language
13852,pizza wing bitch,Offensive language
13853,pizza salad alcohol wantmi crave need met im rude bitch,Offensive language
13854,plaid short bitch,Offensive language
13855,play twice aye im pyhscopath cunt your dead,Offensive language
13856,play pussi get fuck,Offensive language
13857,play  fuck bitch get money  music,Offensive language
13858,play hoe like lotteri,Offensive language
13859,play show lutsen mn pm today papa char ,Neither hate speech nor offensive language
13860,play game wrestl way bind brother sex talk amp provid condom raw dog hoe,Offensive language
13861,play white guilt last one last time whitey felt absolv end today end fieldssuburb pennsylvania,Hate speech
13862,play money like play emot nigga dont believ guess go find hoe ass nigga,Offensive language
13863,pleas oldirtyjesus shut hoe marlsoul im honest nice ,Offensive language
13864,pleas control yo hoe  ,Offensive language
13865,pleas dnt take pictur pleas dnt take pictur especi jewelri man hoe vicious,Offensive language
13866,pleas excus bitch ass phone hoe late,Offensive language
13867,pleas stop score otherwis wont run tomorrow romero yanke bluejay mlb,Neither hate speech nor offensive language
13868,plot twist fuck bitch,Offensive language
13869,plot twist bitch,Offensive language
13870,plot twist hoe loyal,Offensive language
13871,pm u use word use ex swegpmyidnid date,Neither hate speech nor offensive language
13872,polic nicca tryn raid da trap,Offensive language
13873,polit yet milit bird notfeed stencil armi typefac font ateam ,Neither hate speech nor offensive language
13874,polit ass bitch,Offensive language
13875,look face still dont get pussypriceless,Offensive language
13876,poof vamoos son bitch,Offensive language
13877,poor henri hes support right guy gut dont hurt charli lizziecueva,Neither hate speech nor offensive language
13878,poor leoh cant help havin rest bitch face feel ya home skillet biscuit,Offensive language
13879,pop nigguh sound like crisco,Hate speech
13880,pop pussi,Offensive language
13881,pop pussi real nigga,Offensive language
13882,popcorn candi dinner alway knew charli brown spirit anim,Neither hate speech nor offensive language
13883,pop pussi im sweat lol ,Offensive language
